title,genres,director_name,actor1_name,actor2_name,actor3_name,comb
pirates of the caribbean: dead men tell no tales,Adventure Action Fantasy Comedy,Joachim Rønning Espen Sandberg,Johnny Depp,Javier Bardem,Geoffrey Rush,Joachim Rønning Espen Sandberg Johnny Depp Javier Bardem Geoffrey Rush Adventure Action Fantasy Comedy
justice league,Action Adventure Fantasy Sci-Fi,Zack Snyder,Ben Affleck,Henry Cavill,Gal Gadot,Zack Snyder Ben Affleck Henry Cavill Gal Gadot Action Adventure Fantasy Sci-Fi
thor: ragnarok,Action Adventure Fantasy Sci-Fi,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Taika Waititi Chris Hemsworth Tom Hiddleston Cate Blanchett Action Adventure Fantasy Sci-Fi
guardians of the galaxy vol. 2,Action Adventure Comedy Sci-Fi,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,James Gunn Chris Pratt Zoe Saldana Dave Bautista Action Adventure Comedy Sci-Fi
the king's daughter,Fantasy Action Adventure,Sean McNamara,Pierce Brosnan,William Hurt,Benjamin Walker,Sean McNamara Pierce Brosnan William Hurt Benjamin Walker Fantasy Action Adventure
extinction: nature has evolved,Thriller Adventure,Adam Spinks,Ben Loyd-Holmes,Sarah Mac,Neil Newbon,Adam Spinks Ben Loyd-Holmes Sarah Mac Neil Newbon Thriller Adventure
for here or to go?,Drama Comedy,Rucha Humnabadkar,Ali Fazal,Melanie Chandra,Omi Vaidya,Rucha Humnabadkar Ali Fazal Melanie Chandra Omi Vaidya Drama Comedy
guardians,Action Fantasy Sci-Fi,Sarik Andreasyan,Anton Pampushnyy,Sanzhar Madiyev,Sebastien Sisak,Sarik Andreasyan Anton Pampushnyy Sanzhar Madiyev Sebastien Sisak Action Fantasy Sci-Fi
the outcasts,Comedy,Peter Hutchings,Victoria Justice,Eden Sher,Ashley Rickards,Peter Hutchings Victoria Justice Eden Sher Ashley Rickards Comedy
wonder woman,Action Adventure Fantasy,Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright,Patty Jenkins Gal Gadot Chris Pine Robin Wright Action Adventure Fantasy
sly cooper,Animation Adventure Comedy Action Family,Kevin Munroe,Chris Murphy,Ian James Corlett,Matt Olsen,Kevin Munroe Chris Murphy Ian James Corlett Matt Olsen Animation Adventure Comedy Action Family
the circle,Drama Thriller Sci-Fi,James Ponsoldt,Emma Watson,Tom Hanks,John Boyega,James Ponsoldt Emma Watson Tom Hanks John Boyega Drama Thriller Sci-Fi
pitch perfect 3,Comedy,Trish Sie,Anna Kendrick,Rebel Wilson,Brittany Snow,Trish Sie Anna Kendrick Rebel Wilson Brittany Snow Comedy
the devil's candy,Horror,Sean Byrne,Ethan Embry,Shiri Appleby,Kiara Glasco,Sean Byrne Ethan Embry Shiri Appleby Kiara Glasco Horror
las plantas,Drama,Roberto Doveris,Violeta Castillo,Ingrid Isensee,Mauricio Vaca,Roberto Doveris Violeta Castillo Ingrid Isensee Mauricio Vaca Drama
"return to return to nuke 'em high, aka volume 2",Comedy Horror,Lloyd Kaufman,Asta Paredes,Catherine Corcoran,Zac Amino,Lloyd Kaufman Asta Paredes Catherine Corcoran Zac Amino Comedy Horror
the cheerleader murders,TV Movie Thriller,David Jackson,Amanda Leighton,Samantha Boscarino,Hannah Kasulka,David Jackson Amanda Leighton Samantha Boscarino Hannah Kasulka TV Movie Thriller
dean,Comedy,Demetri Martin,Demetri Martin,Gillian Jacobs,Christine Woods,Demetri Martin Demetri Martin Gillian Jacobs Christine Woods Comedy
leatherface,Horror,Alexandre Bustillo Julien Maury,Stephen Dorff,Lili Taylor,Sam Strike,Alexandre Bustillo Julien Maury Stephen Dorff Lili Taylor Sam Strike Horror
47 meters down,Drama Thriller Horror Adventure,Johannes Roberts,Claire Holt,Mandy Moore,Chris Johnson,Johannes Roberts Claire Holt Mandy Moore Chris Johnson Drama Thriller Horror Adventure
porto,Romance Drama,Gabe Klinger,Lucie Lucas,Anton Yelchin,Paulo Calatré,Gabe Klinger Lucie Lucas Anton Yelchin Paulo Calatré Romance Drama
mamaboy,Comedy Drama Family Fantasy Romance Sci-Fi,Aaron Leong,Sean O'Donnell,Alexandria DeBerry,Gary Busey,Aaron Leong Sean O'Donnell Alexandria DeBerry Gary Busey Comedy Drama Family Fantasy Romance Sci-Fi
the promise,History Romance Drama,Terry George,Oscar Isaac,Charlotte Le Bon,Christian Bale,Terry George Oscar Isaac Charlotte Le Bon Christian Bale History Romance Drama
all eyez on me,Drama Music,Benny Boom,Demetrius Shipp Jr.,Danai Gurira,Kat Graham,Benny Boom Demetrius Shipp Jr. Danai Gurira Kat Graham Drama Music
colossal,Action Comedy Drama Fantasy Sci-Fi,Nacho Vigalondo,Anne Hathaway,Jason Sudeikis,Tim Blake Nelson,Nacho Vigalondo Anne Hathaway Jason Sudeikis Tim Blake Nelson Action Comedy Drama Fantasy Sci-Fi
london town,Drama Music,Derrick Borte,Jonathan Rhys Meyers,Daniel Huttlestone,Dougray Scott,Derrick Borte Jonathan Rhys Meyers Daniel Huttlestone Dougray Scott Drama Music
brimstone,Mystery Thriller Western,Martin Koolhoven,Guy Pearce,Dakota Fanning,Carice van Houten,Martin Koolhoven Guy Pearce Dakota Fanning Carice van Houten Mystery Thriller Western
the white king,Drama Sci-Fi,Alex Helfrecht Jörg Tittel,Agyness Deyn,Jonathan Pryce,Fiona Shaw,Alex Helfrecht Jörg Tittel Agyness Deyn Jonathan Pryce Fiona Shaw Drama Sci-Fi
risk,Documentary,Laura Poitras,Julian Assange,Sarah Harrison,Jacob Appelbaum,Laura Poitras Julian Assange Sarah Harrison Jacob Appelbaum Documentary
shangri-la suite,Romance Drama Crime,Eddie O'Keefe,Emily Browning,Luke Grimes,Ron Livingston,Eddie O'Keefe Emily Browning Luke Grimes Ron Livingston Romance Drama Crime
godless,Drama,Ralitza Petrova,Irena Ivanova,Ivan Nalbantov,Ventzislav Konstantinov,Ralitza Petrova Irena Ivanova Ivan Nalbantov Ventzislav Konstantinov Drama
the space between us,Romance Adventure Sci-Fi Drama,Peter Chelsom,Asa Butterfield,Britt Robertson,Carla Gugino,Peter Chelsom Asa Butterfield Britt Robertson Carla Gugino Romance Adventure Sci-Fi Drama
i am not your negro,Documentary,Raoul Peck,Samuel L. Jackson,James Baldwin,Malcolm X,Raoul Peck Samuel L. Jackson James Baldwin Malcolm X Documentary
a dog's purpose,Comedy Drama Family Fantasy,Lasse Hallström,Dennis Quaid,Britt Robertson,Josh Gad,Lasse Hallström Dennis Quaid Britt Robertson Josh Gad Comedy Drama Family Fantasy
manifesto,Drama,Julian Rosefeldt,Cate Blanchett,Erika Bauer,Ruby Bustamante,Julian Rosefeldt Cate Blanchett Erika Bauer Ruby Bustamante Drama
the little hours,Comedy,Jeff Baena,Alison Brie,Dave Franco,Aubrey Plaza,Jeff Baena Alison Brie Dave Franco Aubrey Plaza Comedy
fist fight,Comedy,Richie Keen,Charlie Day,Ice Cube,Tracy Morgan,Richie Keen Charlie Day Ice Cube Tracy Morgan Comedy
sleepless,Action Crime Thriller,Baran bo Odar,Jamie Foxx,Michelle Monaghan,Dermot Mulroney,Baran bo Odar Jamie Foxx Michelle Monaghan Dermot Mulroney Action Crime Thriller
a cure for wellness,Mystery Thriller Horror Sci-Fi,Gore Verbinski,Dane DeHaan,Jason Isaacs,Mia Goth,Gore Verbinski Dane DeHaan Jason Isaacs Mia Goth Mystery Thriller Horror Sci-Fi
the man,Drama Comedy,Charlotte Sieling,Jakob Oftebro,Ane Dahl Torp,Søren Malling,Charlotte Sieling Jakob Oftebro Ane Dahl Torp Søren Malling Drama Comedy
xxx: return of xander cage,Action Adventure Crime,D.J. Caruso,Vin Diesel,Ice Cube,Samuel L. Jackson,D.J. Caruso Vin Diesel Ice Cube Samuel L. Jackson Action Adventure Crime
the bye bye man,Horror Thriller,Stacy Title,Douglas Smith,Lucien Laviscount,Cressida Bonas,Stacy Title Douglas Smith Lucien Laviscount Cressida Bonas Horror Thriller
prevenge,Horror Comedy Drama Thriller Fantasy,Alice Lowe,Alice Lowe,Jo Hartley,Kate Dickie,Alice Lowe Alice Lowe Jo Hartley Kate Dickie Horror Comedy Drama Thriller Fantasy
the lego batman movie,Action Animation Comedy Family Fantasy,Chris McKay,Will Arnett,Zach Galifianakis,Michael Cera,Chris McKay Will Arnett Zach Galifianakis Michael Cera Action Animation Comedy Family Fantasy
a wedding,Drama,Stephan Streker,Lina El Arabi,Sébastien Houbani,Babak Karimi,Stephan Streker Lina El Arabi Sébastien Houbani Babak Karimi Drama
kung fu yoga,Mystery Action Adventure Comedy,Stanley Tong,Jackie Chan,Disha Patani,Sonu Sood,Stanley Tong Jackie Chan Disha Patani Sonu Sood Mystery Action Adventure Comedy
rangoon,War History Drama Romance,Vishal Bhardwaj,Saif Ali Khan,Shahid Kapoor,Kangana Ranaut,Vishal Bhardwaj Saif Ali Khan Shahid Kapoor Kangana Ranaut War History Drama Romance
death race 2050,Action Comedy Sci-Fi,G.J. Echternkamp,Manu Bennett,Malcolm McDowell,Marci Miller,G.J. Echternkamp Manu Bennett Malcolm McDowell Marci Miller Action Comedy Sci-Fi
trespass against us,Action Drama Crime Thriller,Adam Smith,Michael Fassbender,Brendan Gleeson,Lyndsey Marshal,Adam Smith Michael Fassbender Brendan Gleeson Lyndsey Marshal Action Drama Crime Thriller
